timestamp,symbol,buy_exchange,sell_exchange,buy_price,sell_price,profit_bps,net_profit_bps,latency_ns,decision
306933566802500,BTCUSDT,coinbase,kraken,49926.31306933567018200306933566854700,BTCUSDT,coinbase,kraken,49926.31,,,49974.39,9.6,0.0BTCUSDT,coinbase,kraken,49926.31,49974.39,13900,9.6,0.049974.4,,9.6,0.0,85003,
3
,10800,3
306933571712300,BTCUSDT,coinbase,kraken,49926.31,49974.39,9.6,0.0,11100,3
306933572265900,BTCUSDT,coinbase,kraken,49926.31,49974.39,9.6,0.0,6900,3
306933575621700,BTCUSDT,coinbase,kraken,49926.31,49974.39,9.6,0.0,30100,3
306933572267200,BTCUSDT,bybit,coinbase,49116.39,49925.57,164.7,0.0,8200,3
306933575627100,BTCUSDT,bybit,coinbase,49116.39,49925.57,164.7,0.0,35500,3
306933575636100,BTCUSDT,binance,kraken,49916.90,49974.39,11.5,0.0,44500,3
306933572270100,BTCUSDT,bybit,binance,49116.39,49916.65,162.9,0.0,11100,3
306933572272800,BTCUSDT,bybit,kraken,49116.39,49974.39,174.7,0.0,13800,3
306933575647600,BTCUSDT,bybit,binance,49116.39,49916.65,162.9,0.0,56000,3
306933575654900,BTCUSDT,bybit,kraken,49116.39,49974.39,174.7,0.0,63300,3
306933630490100,BTCUSDT,coinbase,binance,49926.31,49963.61,7.5306933630489500,,0.0BTCUSDT,coinbase,binance,,2760049926.31,,349963.61
,7.5,0.0,26400,3
306933630495700,BTCUSDT,binance,coinbase,49916.90,50002.75,17.2,0.0,33200,3
306933630495700,BTCUSDT,binance,coinbase,49916.90,50002.75,17.2,0.0,32600,3
306933630516000,BTCUSDT,coinbase,kraken,49926.31,49974.39,9.6,0.0,53500,3
306933630516000,BTCUSDT,coinbase,kraken,49926.31,49974.39,9.6,0.0,52900,3
306933630528200,BTCUSDT,kraken,coinbase,49975.52,50002.75,5.4,0.0,65700,3
306933630528200,BTCUSDT,kraken,coinbase,49975.52,50002.75,5.4,0.0,65100,3
